# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.82897256136586e-09, Chi^2 = 287.344259679584
#  q       exp_intensity   error model_intensity
0.03000000 22495.80078125  149.98599243 10614.98234435 
0.03016810 21895.59960938  147.97200012 10521.47530136 
0.03033710 21341.69921875  146.08799744 10427.46679343 
0.03050700 20779.19921875  144.14999390 10332.95887954 
0.03067790 20192.69921875  142.10099792 10237.89457354 
0.03084980 19686.50000000  140.30900574 10142.27387544 
0.03102260 19156.19921875  138.40600586 10046.32841567 
0.03119640 18646.40039062  136.55200195 9951.00991651  
0.03137120 18102.30078125  134.54499817 9855.14386822  
0.03154690 17620.59960938  132.74299622 9758.78339121  
0.03172360 17114.00000000  130.82000732 9661.87332197  
0.03190130 16625.80078125  128.94099426 9564.41570359  
0.03208010 16134.50000000  127.02200317 9467.09875346  
0.03225980 15671.59960938  125.18599701 9370.21178633  
0.03244050 15225.40039062  123.39099884 9272.78653596  
0.03262220 14778.90039062  121.56800079 9174.82099382  
0.03280500 14333.20019531  119.72100067 9076.26293841  
0.03298870 13921.29980469  117.98899841 8977.21882126  
0.03317350 13483.00000000  116.11599731 8879.41374082  
0.03335940 13060.79980469  114.28399658 8781.14704242  
0.03354630 12642.90039062  112.44100189 8682.35260014  
0.03373420 12244.40039062  110.65399933 8583.02844478  
0.03392320 11859.20019531  108.90000153 8483.12140812  
0.03411320 11493.50000000  107.20800018 8384.02747158  
0.03430430 11113.40039062  105.41999817 8285.27207837  
0.03449650 10734.00000000  103.60500336 8185.94684625  
0.03468970 10376.09960938  101.86299896 8086.10760403  
0.03488410 10051.09960938  100.25499725 7985.64654435  
0.03507950 9726.37011719   98.62239838 7885.69918532  
0.03527600 9388.01953125   96.89179993 7786.70395961  
0.03547360 9075.62988281   95.26609802 7687.15320302  
0.03567240 8772.84960938   93.66349792 7586.99811894  
0.03587220 8470.62011719   92.03600311 7486.34005420  
0.03607320 8166.95996094   90.37129974 7386.10462803  
0.03627520 7880.00000000   88.76940155 7287.17658746  
0.03647850 7607.54003906   87.22119904 7187.61181987  
0.03668280 7344.06005859   85.69750214 7087.55810431  
0.03688830 7067.85986328   84.07060242 6986.91509698  
0.03709500 6813.37011719   82.54309845 6887.11114222  
0.03730280 6580.27001953   81.11889648 6788.45888710  
0.03751170 6348.52001953   79.67759705 6689.28490566  
0.03772190 6110.99023438   78.17279816 6589.49369547  
0.03793320 5883.60986328   76.70469666 6489.17899041  
0.03814570 5667.91015625   75.28549957 6390.60090146  
0.03835940 5460.43994141   73.89479828 6292.52711795  
0.03857430 5265.12011719   72.56109619 6193.90282876  
0.03879040 5066.37011719   71.17839813 6094.72803389  
0.03900770 4875.89990234   69.82759857 5995.13038021  
0.03922620 4708.81005859   68.62079620 5898.47716273  
0.03944600 4535.45019531   67.34580231 5801.24883447  
0.03966690 4368.81005859   66.09700012 5703.53438104  
0.03988920 4204.93994141   64.84549713 5605.19867614  
0.04011260 4045.07006836   63.60089874 5508.32019715  
0.04033730 3904.14990234   62.48320007 5412.79815075  
0.04056330 3764.09008789   61.35219955 5316.72499735  
0.04079050 3626.63989258   60.22159958 5220.14191161  
0.04101910 3491.46997070   59.08860016 5123.30024490  
0.04124880 3370.17993164   58.05319977 5029.72504103  
0.04147990 3238.93994141   56.91170120 4935.57769275  
