# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 2.77746452349830e-09, Chi^2 = 317.267267151599
#  q       exp_intensity   error model_intensity
0.03000000 22495.80078125  149.98599243 9127.12093863  
0.03016810 21895.59960938  147.97200012 9049.24270904  
0.03033710 21341.69921875  146.08799744 8970.94683444  
0.03050700 20779.19921875  144.14999390 8892.23502486  
0.03067790 20192.69921875  142.10099792 8813.05981885  
0.03084980 19686.50000000  140.30900574 8733.42121642  
0.03102260 19156.19921875  138.40600586 8653.56370733  
0.03119640 18646.40039062  136.55200195 8574.57342384  
0.03137120 18102.30078125  134.54499817 8495.12938728  
0.03154690 17620.59960938  132.74299622 8415.27561846  
0.03172360 17114.00000000  130.82000732 8334.96640345  
0.03190130 16625.80078125  128.94099426 8254.20343537  
0.03208010 16134.50000000  127.02200317 8173.73963065  
0.03225980 15671.59960938  125.18599701 8093.85920934  
0.03244050 15225.40039062  123.39099884 8013.53498952  
0.03262220 14778.90039062  121.56800079 7932.76531521  
0.03280500 14333.20019531  119.72100067 7851.50713134  
0.03298870 13921.29980469  117.98899841 7769.84820404  
0.03317350 13483.00000000  116.11599731 7689.60528673  
0.03335940 13060.79980469  114.28399658 7609.00997009  
0.03354630 12642.90039062  112.44100189 7527.98181418  
0.03373420 12244.40039062  110.65399933 7446.51920394  
0.03392320 11859.20019531  108.90000153 7364.57853242  
0.03411320 11493.50000000  107.20800018 7283.55902601  
0.03430430 11113.40039062  105.41999817 7202.99218374  
0.03449650 10734.00000000  103.60500336 7121.96045422  
0.03468970 10376.09960938  101.86299896 7040.50938386  
0.03488410 10051.09960938  100.25499725 6958.55102101  
0.03507950 9726.37011719   98.62239838 6877.18772631  
0.03527600 9388.01953125   96.89179993 6796.86018802  
0.03547360 9075.62988281   95.26609802 6716.08187620  
0.03567240 8772.84960938   93.66349792 6634.81319588  
0.03587220 8470.62011719   92.03600311 6553.13638276  
0.03607320 8166.95996094   90.37129974 6471.96138531  
0.03627520 7880.00000000   88.76940155 6392.12679587  
0.03647850 7607.54003906   87.22119904 6311.77836990  
0.03668280 7344.06005859   85.69750214 6231.03536459  
0.03688830 7067.85986328   84.07060242 6149.81680285  
0.03709500 6813.37011719   82.54309845 6069.47513586  
0.03730280 6580.27001953   81.11889648 5990.30011468  
0.03751170 6348.52001953   79.67759705 5910.70637330  
0.03772190 6110.99023438   78.17279816 5830.61726464  
0.03793320 5883.60986328   76.70469666 5750.10801639  
0.03814570 5667.91015625   75.28549957 5671.28888487  
0.03835940 5460.43994141   73.89479828 5593.01282214  
0.03857430 5265.12011719   72.56109619 5514.29738187  
0.03879040 5066.37011719   71.17839813 5435.14256407  
0.03900770 4875.89990234   69.82759857 5355.66523531  
0.03922620 4708.81005859   68.62079620 5278.94830890  
0.03944600 4535.45019531   67.34580231 5201.77489762  
0.03966690 4368.81005859   66.09700012 5124.21563237  
0.03988920 4204.93994141   64.84549713 5046.16325881  
0.04011260 4045.07006836   63.60089874 4969.47593830  
0.04033730 3904.14990234   62.48320007 4894.07275418  
0.04056330 3764.09008789   61.35219955 4818.23453726  
0.04079050 3626.63989258   60.22159958 4741.99379000  
0.04101910 3491.46997070   59.08860016 4665.58212412  
0.04124880 3370.17993164   58.05319977 4592.11502963  
0.04147990 3238.93994141   56.91170120 4518.19873723  
0.04171230 3125.09008789   55.90250015 4443.86780059  
0.04194600 3018.20996094   54.93820190 4369.11983670  
0.04218100 2911.23999023   53.95589828 4296.83444055  
0.04241730 2807.94995117   52.99010086 4225.01228984  
0.04265490 2714.57006836   52.10150146 4152.79383838  
0.04289380 2624.02001953   51.22520065 4080.18135074  
0.04313410 2540.11010742   50.39950180 4009.28133204  
0.04337580 2457.09008789   49.56900024 3939.67128930  
0.04361880 2377.52001953   48.75979996 3869.68788155  
0.04386310 2303.11010742   47.99069977 3799.32896302  
0.04410880 2234.16992188   47.26699829 3730.29593922  
0.04435590 2172.73999023   46.61259842 3663.05879547  
0.04460440 2108.82006836   45.92190170 3595.44050945  
0.04485430 2050.36010742   45.28089905 3527.44108119  
0.04510560 1997.70996094   44.69580078 3460.72890408  
0.04535830 1941.95996094   44.06769943 3395.95978898  
0.04561240 1889.18005371   43.46469879 3330.83261718  
0.04586790 1842.31994629   42.92219925 3265.34547904  
0.04612480 1795.56005859   42.37400055 3201.44560364  
0.04638320 1752.79003906   41.86629868 3139.24437590  
0.04664310 1714.82995605   41.41049957 3076.68086141  
0.04690440 1678.93005371   40.97470093 3013.78106590  
0.04716710 1644.32995605   40.55039978 2953.09804092  
0.04743140 1609.43005371   40.11769867 2893.51593626  
0.04769710 1579.35998535   39.74119949 2833.61722267  
0.04796430 1551.55004883   39.38970184 2773.38090487  
0.04823300 1520.31005859   38.99119949 2716.29876529  
0.04850320 1495.72998047   38.67459869 2659.43493169  
0.04877490 1475.63000488   38.41400146 2602.25593705  
0.04904810 1452.09997559   38.10639954 2545.46075789  
0.04932290 1428.96997070   37.80179977 2491.62302836  
0.04959920 1413.69995117   37.59909821 2437.49117139  
0.04987710 1392.39001465   37.31470108 2383.04621101  
0.05015650 1370.18005371   37.01599884 2330.51422263  
0.05043750 1355.48999023   36.81700134 2279.42497461  
0.05072000 1338.31005859   36.58290100 2228.06277197  
0.05100410 1320.41003418   36.33739853 2176.46501774  
0.05128990 1308.76000977   36.17679977 2128.38648550  
0.05157720 1294.50000000   35.97919846 2080.05602650  
0.05186610 1281.83996582   35.80279922 2031.45609358  
0.05215670 1264.78002930   35.56370163 1984.61599457  
0.05244890 1249.06005859   35.34199905 1939.27704659  
0.05274270 1237.21997070   35.17419815 1893.68896445  
0.05303820 1225.03002930   35.00049973 1848.31329574  
0.05333530 1213.47998047   34.83499908 1805.91107610  
0.05363410 1199.68994141   34.63650131 1763.26694695  
0.05393450 1188.94995117   34.48120117 1720.39420001  
0.05423670 1180.22998047   34.35440063 1680.06371468  
0.05454050 1169.75000000   34.20169830 1640.29816111  
0.05484610 1151.16003418   33.92879868 1600.29708913  
0.05515330 1140.67004395   33.77379990 1561.80889879  
0.05546230 1128.64001465   33.59529877 1524.83382881  
0.05577300 1114.14001465   33.37870026 1487.65548888  
0.05608540 1103.89001465   33.22480011 1451.17094400  
0.05639960 1094.92004395   33.08969879 1416.87454672  
0.05671560 1077.89001465   32.83129883 1382.38133817  
0.05703330 1063.98999023   32.61880112 1348.03246148  
0.05735280 1049.78002930   32.40029907 1316.32152552  
0.05767410 1040.36999512   32.25469971 1284.43200409  
0.05799720 1024.72998047   32.01150131 1252.36352746  
0.05832210 1010.71997070   31.79179955 1223.08092202  
0.05864880 997.34802246    31.58079910 1193.66241611  
0.05897740 981.09301758    31.32239914 1164.07249205  
0.05930780 965.37298584    31.07049942 1136.94861467  
0.05964000 949.24200439    30.80979919 1109.87077065  
0.05997410 935.98602295    30.59390068 1082.63836961  
0.06031010 921.82702637    30.36160088 1057.69427082  
0.06064790 902.27099609    30.03779984 1032.82148969  
0.06098770 888.42498779    29.80649948 1007.80168491  
0.06132940 871.28302002    29.51749992 985.02860114   
0.06167290 856.38299561    29.26399994 962.22496247   
0.06201840 840.85400391    28.99749947 939.40953126   
0.06236590 822.49597168    28.67919922 918.62161919   
0.06271520 802.94201660    28.33620071 897.72607048   
0.06306660 787.27301025    28.05839920 877.10328648   
0.06341990 769.58599854    27.74139977 858.08118244   
0.06377510 751.74200439    27.41790009 838.95678529   
0.06413240 736.95001221    27.14679909 820.42779439   
0.06449170 722.46801758    26.87879944 803.00556578   
0.06485300 703.60797119    26.52560043 785.48615363   
0.06521630 687.35601807    26.21750069 768.91081852   
0.06558160 670.46997070    25.89340019 752.95627853   
0.06594900 652.62799072    25.54660034 736.90964744   
0.06631850 635.80200195    25.21509933 722.12750315   
0.06669000 620.93499756    24.91860008 707.48349034   
0.06706360 602.24902344    24.54080009 692.99521182   
0.06743930 587.02697754    24.22859955 679.59484341   
0.06781710 570.85498047    23.89259911 666.11980115   
0.06819700 557.43499756    23.61009979 653.21062356   
0.06857900 538.20697021    23.19930077 640.82807021   
0.06896320 525.40502930    22.92169952 628.37451376   
