# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.10796449543332e-09, Chi^2 = 92.9504634306682
#  q       exp_intensity   error model_intensity
0.03000000 22495.80078125  149.98599243 22873.40270251 
0.03016810 21895.59960938  147.97200012 22338.77082718 
0.03033710 21341.69921875  146.08799744 21801.27234252 
0.03050700 20779.19921875  144.14999390 21260.91847862 
0.03067790 20192.69921875  142.10099792 20717.38341419 
0.03084980 19686.50000000  140.30900574 20170.66714923 
0.03102260 19156.19921875  138.40600586 19627.69545696 
0.03119640 18646.40039062  136.55200195 19125.78454200 
0.03137120 18102.30078125  134.54499817 18620.99044178 
0.03154690 17620.59960938  132.74299622 18113.59286830 
0.03172360 17114.00000000  130.82000732 17603.30135140 
0.03190130 16625.80078125  128.94099426 17090.12664925 
0.03208010 16134.50000000  127.02200317 16596.77963896 
0.03225980 15671.59960938  125.18599701 16129.43187262 
0.03244050 15225.40039062  123.39099884 15659.48762215 
0.03262220 14778.90039062  121.56800079 15186.93719917 
0.03280500 14333.20019531  119.72100067 14711.52870598 
0.03298870 13921.29980469  117.98899841 14233.77562638 
0.03317350 13483.00000000  116.11599731 13801.56928863 
0.03335940 13060.79980469  114.28399658 13369.96422549 
0.03354630 12642.90039062  112.44100189 12936.04121604 
0.03373420 12244.40039062  110.65399933 12499.79161123 
0.03392320 11859.20019531  108.90000153 12060.98188660 
0.03411320 11493.50000000  107.20800018 11650.25324587 
0.03430430 11113.40039062  105.41999817 11257.87939495 
0.03449650 10734.00000000  103.60500336 10863.24146630 
0.03468970 10376.09960938  101.86299896 10466.56127833 
0.03488410 10051.09960938  100.25499725 10067.41049202 
0.03507950 9726.37011719   98.62239838 9686.54204902  
0.03527600 9388.01953125   96.89179993 9333.35853762  
0.03547360 9075.62988281   95.26609802 8978.19306858  
0.03567240 8772.84960938   93.66349792 8620.87155103  
0.03587220 8470.62011719   92.03600311 8261.75555832  
0.03607320 8166.95996094   90.37129974 7918.16327621  
0.03627520 7880.00000000   88.76940155 7603.89785222  
0.03647850 7607.54003906   87.22119904 7287.60973287  
0.03668280 7344.06005859   85.69750214 6969.76836895  
0.03688830 7067.85986328   84.07060242 6650.05499759  
0.03709500 6813.37011719   82.54309845 6349.94038332  
0.03730280 6580.27001953   81.11889648 6073.59159493  
0.03751170 6348.52001953   79.67759705 5795.78132516  
0.03772190 6110.99023438   78.17279816 5516.24204862  
0.03793320 5883.60986328   76.70469666 5235.23633653  
0.03814570 5667.91015625   75.28549957 4983.08716420  
0.03835940 5460.43994141   73.89479828 4743.54895452  
0.03857430 5265.12011719   72.56109619 4502.66617404  
