# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 3.04299491539138e-09, Chi^2 = 427.738223799481
#  q       exp_intensity   error model_intensity
0.03000000 22495.80078125  149.98599243 7439.29439173  
0.03016810 21895.59960938  147.97200012 7393.16073144  
0.03033710 21341.69921875  146.08799744 7346.77965560  
0.03050700 20779.19921875  144.14999390 7300.15218733  
0.03067790 20192.69921875  142.10099792 7253.25021130  
0.03084980 19686.50000000  140.30900574 7206.07372751  
0.03102260 19156.19921875  138.40600586 7158.65589920  
0.03119640 18646.40039062  136.55200195 7111.00468739  
0.03137120 18102.30078125  134.54499817 7063.07974718  
0.03154690 17620.59960938  132.74299622 7014.90763431  
0.03172360 17114.00000000  130.82000732 6966.46077166  
0.03190130 16625.80078125  128.94099426 6917.74018062  
0.03208010 16134.50000000  127.02200317 6868.79067287  
0.03225980 15671.59960938  125.18599701 6819.68400966  
0.03244050 15225.40039062  123.39099884 6770.30452034  
0.03262220 14778.90039062  121.56800079 6720.65118690  
0.03280500 14333.20019531  119.72100067 6670.69754114  
0.03298870 13921.29980469  117.98899841 6620.49753748  
0.03317350 13483.00000000  116.11599731 6570.24953075  
0.03335940 13060.79980469  114.28399658 6519.71924348  
0.03354630 12642.90039062  112.44100189 6468.91758197  
0.03373420 12244.40039062  110.65399933 6417.84353364  
0.03392320 11859.20019531  108.90000153 6366.46975854  
0.03411320 11493.50000000  107.20800018 6315.05590033  
0.03430430 11113.40039062  105.41999817 6263.50079493  
0.03449650 10734.00000000  103.60500336 6211.64820598  
0.03468970 10376.09960938  101.86299896 6159.52727883  
0.03488410 10051.09960938  100.25499725 6107.08173280  
0.03507950 9726.37011719   98.62239838 6054.57147888  
0.03527600 9388.01953125   96.89179993 6002.06838705  
0.03547360 9075.62988281   95.26609802 5949.27066395  
0.03567240 8772.84960938   93.66349792 5896.15242983  
0.03587220 8470.62011719   92.03600311 5842.76743496  
0.03607320 8166.95996094   90.37129974 5789.29019531  
0.03627520 7880.00000000   88.76940155 5735.94960687  
0.03647850 7607.54003906   87.22119904 5682.26570431  
0.03668280 7344.06005859   85.69750214 5628.31816797  
0.03688830 7067.85986328   84.07060242 5574.05289391  
0.03709500 6813.37011719   82.54309845 5519.81570331  
0.03730280 6580.27001953   81.11889648 5465.69563873  
0.03751170 6348.52001953   79.67759705 5411.28935806  
0.03772190 6110.99023438   78.17279816 5356.54446922  
0.03793320 5883.60986328   76.70469666 5301.51239408  
0.03814570 5667.91015625   75.28549957 5246.76310658  
0.03835940 5460.43994141   73.89479828 5191.97779538  
0.03857430 5265.12011719   72.56109619 5136.88496444  
0.03879040 5066.37011719   71.17839813 5081.48461375  
0.03900770 4875.89990234   69.82759857 5025.81165124  
0.03922620 4708.81005859   68.62079620 4970.78693991  
0.03944600 4535.45019531   67.34580231 4915.43481781  
0.03966690 4368.81005859   66.09700012 4859.80594448  
0.03988920 4204.93994141   64.84549713 4803.82339246  
0.04011260 4045.07006836   63.60089874 4748.12514182  
0.04033730 3904.14990234   62.48320007 4692.65620132  
0.04056330 3764.09008789   61.35219955 4636.86723709  
0.04079050 3626.63989258   60.22159958 4580.78215896  
0.04101910 3491.46997070   59.08860016 4524.45203597  
0.04124880 3370.17993164   58.05319977 4468.97239954  
0.04147990 3238.93994141   56.91170120 4413.15354543  
0.04171230 3125.09008789   55.90250015 4357.02156731  
0.04194600 3018.20996094   54.93820190 4300.57466562  
0.04218100 2911.23999023   53.95589828 4244.84691273  
0.04241730 2807.94995117   52.99010086 4189.12052872  
0.04265490 2714.57006836   52.10150146 4133.08665730  
0.04289380 2624.02001953   51.22520065 4076.74705552  
0.04313410 2540.11010742   50.39950180 4020.88606027  
0.04337580 2457.09008789   49.56900024 3965.34383231  
0.04361880 2377.52001953   48.75979996 3909.50369440  
0.04386310 2303.11010742   47.99069977 3853.36393441  
0.04410880 2234.16992188   47.26699829 3797.59033444  
0.04435590 2172.73999023   46.61259842 3742.37031751  
0.04460440 2108.82006836   45.92190170 3686.83727893  
0.04485430 2050.36010742   45.28089905 3630.99121869  
0.04510560 1997.70996094   44.69580078 3575.53008764  
0.04535830 1941.95996094   44.06769943 3520.72823576  
0.04561240 1889.18005371   43.46469879 3465.62342822  
0.04586790 1842.31994629   42.92219925 3410.21404925  
0.04612480 1795.56005859   42.37400055 3355.35545843  
0.04638320 1752.79003906   41.86629868 3301.08604066  
0.04664310 1714.82995605   41.41049957 3246.50053442  
0.04690440 1678.93005371   40.97470093 3191.62162923  
0.04716710 1644.32995605   40.55039978 3137.62153629  
0.04743140 1609.43005371   40.11769867 3083.96812260  
0.04769710 1579.35998535   39.74119949 3030.02960402  
0.04796430 1551.55004883   39.38970184 2975.78707438  
0.04823300 1520.31005859   38.99119949 2922.92607483  
0.04850320 1495.72998047   38.67459869 2870.02870958  
0.04877490 1475.63000488   38.41400146 2816.83816695  
0.04904810 1452.09997559   38.10639954 2763.70716046  
0.04932290 1428.96997070   37.80179977 2711.92503926  
