# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.71653273087347e-09, Chi^2 = 279.073721159316
#  q       exp_intensity   error model_intensity
0.03000000 22495.80078125  149.98599243 10926.53843764 
0.03016810 21895.59960938  147.97200012 10827.64051260 
0.03033710 21341.69921875  146.08799744 10728.21221332 
0.03050700 20779.19921875  144.14999390 10628.25571626 
0.03067790 20192.69921875  142.10099792 10527.71074991 
0.03084980 19686.50000000  140.30900574 10426.57731425 
0.03102260 19156.19921875  138.40600586 10325.11415919 
0.03119640 18646.40039062  136.55200195 10224.40620784 
0.03137120 18102.30078125  134.54499817 10123.11974809 
0.03154690 17620.59960938  132.74299622 10021.31090388 
0.03172360 17114.00000000  130.82000732 9918.92139266  
0.03190130 16625.80078125  128.94099426 9815.95337304  
0.03208010 16134.50000000  127.02200317 9713.18452757  
0.03225980 15671.59960938  125.18599701 9610.93283997  
0.03244050 15225.40039062  123.39099884 9508.11306388  
0.03262220 14778.90039062  121.56800079 9404.72307957  
0.03280500 14333.20019531  119.72100067 9300.70777399  
0.03298870 13921.29980469  117.98899841 9196.17949298  
0.03317350 13483.00000000  116.11599731 9093.07243287  
0.03335940 13060.79980469  114.28399658 8989.48631163  
0.03354630 12642.90039062  112.44100189 8885.34387840  
0.03373420 12244.40039062  110.65399933 8780.64305740  
0.03392320 11859.20019531  108.90000153 8675.32780228  
0.03411320 11493.50000000  107.20800018 8570.94633174  
0.03430430 11113.40039062  105.41999817 8466.97449517  
0.03449650 10734.00000000  103.60500336 8362.40271975  
0.03468970 10376.09960938  101.86299896 8257.28978326  
0.03488410 10051.09960938  100.25499725 8151.52218375  
0.03507950 9726.37011719   98.62239838 8046.35079493  
0.03527600 9388.01953125   96.89179993 7942.26332744  
0.03547360 9075.62988281   95.26609802 7837.59175298  
0.03567240 8772.84960938   93.66349792 7732.28476485  
0.03587220 8470.62011719   92.03600311 7626.44892312  
0.03607320 8166.95996094   90.37129974 7521.10986249  
0.03627520 7880.00000000   88.76940155 7417.23764629  
0.03647850 7607.54003906   87.22119904 7312.69688104  
0.03668280 7344.06005859   85.69750214 7207.64273143  
0.03688830 7067.85986328   84.07060242 7101.96983872  
0.03709500 6813.37011719   82.54309845 6997.24771395  
0.03730280 6580.27001953   81.11889648 6893.81770895  
0.03751170 6348.52001953   79.67759705 6789.84071032  
0.03772190 6110.99023438   78.17279816 6685.21659041  
0.03793320 5883.60986328   76.70469666 6580.04362266  
0.03814570 5667.91015625   75.28549957 6476.80086475  
0.03835940 5460.43994141   73.89479828 6374.13794026  
0.03857430 5265.12011719   72.56109619 6270.89875043  
0.03879040 5066.37011719   71.17839813 6167.08329526  
0.03900770 4875.89990234   69.82759857 6062.83110272  
0.03922620 4708.81005859   68.62079620 5961.82288905  
0.03944600 4535.45019531   67.34580231 5860.21365127  
0.03966690 4368.81005859   66.09700012 5758.09638452  
0.03988920 4204.93994141   64.84549713 5655.32987398  
0.04011260 4045.07006836   63.60089874 5554.17419637  
0.04033730 3904.14990234   62.48320007 5454.52363128  
0.04056330 3764.09008789   61.35219955 5354.29814002  
0.04079050 3626.63989258   60.22159958 5253.54067685  
0.04101910 3491.46997070   59.08860016 5152.52862479  
0.04124880 3370.17993164   58.05319977 5055.09147041  
0.04147990 3238.93994141   56.91170120 4957.05855860  
0.04171230 3125.09008789   55.90250015 4858.47571686  
0.04194600 3018.20996094   54.93820190 4759.33978467  
0.04218100 2911.23999023   53.95589828 4663.22707219  
0.04241730 2807.94995117   52.99010086 4567.65456211  
0.04265490 2714.57006836   52.10150146 4471.55470140  
0.04289380 2624.02001953   51.22520065 4374.93050347  
0.04313410 2540.11010742   50.39950180 4280.42894897  
0.04337580 2457.09008789   49.56900024 4187.51867975  
0.04361880 2377.52001953   48.75979996 4094.11007089  
0.04386310 2303.11010742   47.99069977 4000.20025837  
0.04410880 2234.16992188   47.26699829 3907.95484431  
0.04435590 2172.73999023   46.61259842 3817.97257528  
0.04460440 2108.82006836   45.92190170 3727.48023037  
0.04485430 2050.36010742   45.28089905 3636.47780958  
0.04510560 1997.70996094   44.69580078 3547.11788798  
0.04535830 1941.95996094   44.06769943 3460.24659817  
0.04561240 1889.18005371   43.46469879 3372.89506638  
0.04586790 1842.31994629   42.92219925 3285.06073134  
0.04612480 1795.56005859   42.37400055 3199.28745749  
0.04638320 1752.79003906   41.86629868 3115.71985538  
0.04664310 1714.82995605   41.41049957 3031.66551955  
0.04690440 1678.93005371   40.97470093 2947.15938881  
0.04716710 1644.32995605   40.55039978 2865.58084286  
0.04743140 1609.43005371   40.11769867 2785.45192169  
0.04769710 1579.35998535   39.74119949 2704.89720938  
0.04796430 1551.55004883   39.38970184 2623.88847046  
0.04823300 1520.31005859   38.99119949 2547.10760007  
0.04850320 1495.72998047   38.67459869 2470.61807875  
0.04877490 1475.63000488   38.41400146 2393.70462334  
0.04904810 1452.09997559   38.10639954 2317.31711236  
0.04932290 1428.96997070   37.80179977 2244.95330538  
0.04959920 1413.69995117   37.59909821 2172.19415889  
0.04987710 1392.39001465   37.31470108 2099.01416711  
0.05015650 1370.18005371   37.01599884 2028.47886245  
0.05043750 1355.48999023   36.81700134 1959.94118615  
0.05072000 1338.31005859   36.58290100 1891.03733348  
0.05100410 1320.41003418   36.33739853 1821.82052377  
0.05128990 1308.76000977   36.17679977 1757.53395985  
